"assessment_id","supplier","english_name","capability_family","node_id","lane","status","tier","criticality","frontier","cross_domain","evidence","maturity","importance","lower_bound","evidence_count","initial_rank","fragility","source_urls"
"CNSCA-21CEE20030","北京理工导航控制科技股份有限公司","Beijing Rational Navigation Control Technology Co. Ltd.","inertial_navigation_and_guidance","N-INS","component_or_subsystem_supplier","verified_supplier","evidence_qualified","4","3","2","E4","U5","86","86","1","1","4","https://static.cninfo.com.cn/finalpage/2025-08-29/1224606049.PDF"
"CNSCA-F0C568E721","上海霍莱沃电子系统技术股份有限公司","Shanghai Hollywave Electronic System Co. Ltd.","electromagnetic_simulation_AESA_calibration_and_validation","N-EM-TEST","production_enabler","verified_production_enabler","evidence_qualified","3","4","3","E4","U3","79","79","1","2","","https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260414/5bd24d0a9a3c41f5800a8230136d400a.PDF"
"CNSCA-A63BD1FF74","北京晶品特装科技股份有限公司","Beijing Jingpin Special Equipment Co. Ltd.","military_robot_motion_and_EO_modules","N-ROBOT-MOTION","production_enabler","verified_production_enabler","evidence_qualified","3","4","2","E4","U4","79","79","1","3","","https://static.cninfo.com.cn/finalpage/2025-04-29/1223380866.PDF"
"CNSCA-3385A3CAA0","南京国博电子股份有限公司","Nanjing Guobo Electronics Co. Ltd.","AESA_TR_modules_and_RF_ICs","N-RADAR-RF","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","4","2","E4","U4","79","79","2","4","","https://static.cninfo.com.cn/finalpage/2026-04-10/1225090270.PDF|https://static.cninfo.com.cn/finalpage/2025-04-11/1223058747.PDF"
"CNSCA-44C5B9481E","成都天箭科技股份有限公司","Chengdu Tianjian Technology Co. Ltd.","radar_seeker_transmitters_and_RF_frontends","N-RADAR-RF","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","4","2","E4","U5","79","79","2","5","","https://static.cninfo.com.cn/finalpage/2026-04-23/1225156050.PDF|https://static.cninfo.com.cn/finalpage/2025-04-23/1223218349.PDF"
"CNSCA-FA049DE64A","北京新兴东方航空装备股份有限公司","Beijing Emerging Eastern Aviation Equipment Co. Ltd.","servo_control_and_precision_transmission","N-SERVO","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","3","2","E4","U5","75","75","1","6","","https://static.cninfo.com.cn/finalpage/2026-04-10/1225090558.PDF"
"CNSCA-704D4D4A26","南京高华科技股份有限公司","Nanjing Gaohua Technology Co. Ltd.","MEMS_sensor_chips_and_condition_monitoring","N-MEMS","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","3","2","E4","U4","75","75","2","7","","https://static.cninfo.com.cn/finalpage/2026-04-25/1225182276.PDF|https://static.cninfo.com.cn/finalpage/2026-04-25/1225182440.PDF"
"CNSCA-2C9245B437","天津七一二通信广播股份有限公司","Tianjin 712 Communication and Broadcasting Co. Ltd.","military_wireless_and_unattended_system_comms","N-NETWORK","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","3","3","E4","U3","75","75","1","8","","https://static.cninfo.com.cn/finalpage/2025-04-23/1223214852.PDF"
"CNSCA-06C4F00FB5","成都盟升电子技术股份有限公司","Chengdu Mengsheng Electronic Technology Co. Ltd.","tactical_navigation_datalinks_and_EW_terminals","N-DATALINK","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","3","2","E4","U4","75","75","1","9","","https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260421/25c6b2d9722b4c1990648cda477bc885.PDF"
"CNSCA-EDBD70594B","武汉高德红外股份有限公司","Wuhan Guide Infrared Co. Ltd.","IR_detectors_and_EO_systems","N-IR-EO","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","3","2","E4","U4","75","75","1","10","","https://static.cninfo.com.cn/finalpage/2025-04-25/1223276595.PDF"
"CNSCA-FBEEBE8091","浙江臻镭科技股份有限公司","Zhejiang Great Microwave Technology Co. Ltd.","RF_data_conversion_power_and_microsystems","N-RF-MICRO","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","3","2","E4","U4","75","75","1","11","","https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260422/1fcf6b9a126e4790b11dc2a273b4d8a7.PDF"
"CNSCA-D11C362C85","湖南航天环宇通信科技股份有限公司","Hunan Aerospace Huanyu Communication Technology Co. Ltd.","space_microwave_inertial_components_and_antennas","N-INS","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","3","2","E4","U4","75","75","1","12","","https://static.cninfo.com.cn/finalpage/2025-08-15/1224487074.PDF"
"CNSCA-266AD89280","浙江铖昌科技股份有限公司","Zhejiang Chengchang Technology Co. Ltd.","GaN_GaAs_phased_array_TR_chips","N-RADAR-RF","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","4","3","E3","U4","84","71","1","13","","https://static.cninfo.com.cn/finalpage/2025-04-23/1223220400.PDF"
"CNSCA-96F078E2AA","航天时代电子技术股份有限公司","China Aerospace Times Electronics Co. Ltd.","unmanned_systems_and_aerospace_electronics_integration","N-UNMANNED","unmanned_systems_enabler","verified_supplier","evidence_qualified","3","2","2","E4","U4","71","71","1","14","","https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260327/01fc31123b944c3396c26972e042ab76.PDF"
"CNSCA-D8202F393E","中航光电科技股份有限公司","AVIC Optoelectronics Technology Co. Ltd.","high_reliability_interconnects_and_micro_motors","N-SERVO","production_enabler","verified_production_enabler","evidence_qualified","3","3","2","E4","U3","70","70","1","15","","https://static.cninfo.com.cn/finalpage/2025-03-29/1222943981.PDF"
"CNSCA-D1614000A1","广电计量检测集团股份有限公司","GRG Metrology and Test Group Co. Ltd.","software_EMC_reliability_and_acceptance_testing","N-RELIABILITY","production_enabler","verified_production_enabler","evidence_qualified","3","3","2","E4","U3","70","70","1","16","","https://static.cninfo.com.cn/finalpage/2026-03-27/1225036876.PDF"
"CNSCA-A064C93AE6","航天工业发展股份有限公司","Aerospace Industrial Development Co. Ltd.","military_networks_C2_and_UAV_comms_nodes","N-NETWORK","unmanned_systems_enabler","verified_supplier","evidence_qualified","3","3","2","E4","U3","70","70","1","17","","https://static.cninfo.com.cn/finalpage/2026-04-29/1225247825.PDF"
"CNSCA-1C6C4C19E3","航天科技控股集团股份有限公司","Aerospace Science and Technology Holding Group Co. Ltd.","accelerometers_inertial_servo_and_test_equipment","N-INS","production_enabler","verified_production_enabler","evidence_qualified","3","3","3","E3","U3","75","64","1","18","","https://static.cninfo.com.cn/finalpage/2025-08-27/1224574611.PDF"
"CNSCA-FBF37C7778","烟台睿创微纳技术股份有限公司","Yantai Raytron Technology Co. Ltd.","IR_detectors_thermal_cores_TR_and_laser_ranging","N-IR-EO","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","4","2","E3","U3","74","63","1","19","","https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260409/bd5b9430f4f748bb9810c6a6fbcb645e.PDF"
"CNSCA-7156C53713","中航机载系统股份有限公司","AVIC Airborne Systems Co. Ltd.","flight_control_INS_and_avionics","N-FLIGHT","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","3","2","E3","U3","70","60","1","20","","https://static.cninfo.com.cn/finalpage/2025-03-29/1222952075.PDF"
"CNSCA-A60A2291B2","广州海格通信集团股份有限公司","Guangzhou Haige Communications Group Inc.","tactical_datalinks_and_BeiDou","N-DATALINK","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","3","2","E3","U3","70","60","1","21","","https://static.cninfo.com.cn/finalpage/2025-03-29/1222948694.PDF"
"CNSCA-FAEE0AA83E","成都天奥电子股份有限公司","Chengdu Tianao Electronics Co. Ltd.","atomic_clocks_timing_and_BeiDou","N-TIMING","component_or_subsystem_supplier","verified_supplier","evidence_qualified","3","3","2","E3","U3","70","60","1","22","","https://static.cninfo.com.cn/finalpage/2025-04-12/1223068986.PDF"
"CNSCA-8FC0083F7A","科德数控股份有限公司","Kede Numerical Control Co. Ltd.","CNC_controls_servo_drives_and_machine_tool_components","N-CNC","production_enabler","verified_production_enabler","evidence_qualified","3","3","2","E3","U3","70","60","1","23","","https://static.cninfo.com.cn/finalpage/2026-04-21/1225129206.PDF"
