"stable_id","name_en","name_zh","institution_family","institution","recorded_billet","reported_military_rank","appointment_record","current_title_source","title_freshness","primary_mapped_claims","birth_record","open_gap_count","last_corroborated","source_count","linked_gap_ids"
"PLA-7FCDE2ABF6CF","Bi Yi","毕毅","Aerospace / cyberspace / information","Information Support Force","founding ISF commander; August 2026 continuity contested","lieutenant general","conflicting_current","official_mapped","pre_2025","2","recorded","0","2024-04-19","6",""
"PLA-79BEBDEED3E5","Cai Weibin","蔡渭滨","Military education / research","Air Force Engineering University","Party secretary and political commissar, Air Force Engineering University","Major general","official_title_with_scope_caveat","official_mapped","observed_2026","2","not_public","0","2026-08-28","1",""
"PLA-1D6A99D9F70C","Cai Zhijun","蔡志军","CMC / central joint","CMC Joint Staff Department","Reported Army chief of staff and apparent presiding military officer since mid-2025; no formal Army commander announcement located.","Lieutenant general (reported)","acting_role_mixture","not_mapped","observed_2026","3","not_public","1","2026 reporting; last strong official career anchors 2019-2021","6","G02"
"PLA-3C604F7A4F94","Cao Bing","曹兵","Military education / research","Joint Logistic Support Force Engineering University","President, Joint Logistic Support Force Engineering University","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-07-20","1",""
"PLA-92141D678925","Chen Chi","陈炽","CMC / central joint","CMC / central joint","Assessed CMC Logistic Support Department director since about September 2025. Imagery/protocol and specialist reconstructions support it, but no appointment notice located.","Lieutenant General","acting_role_mixture","not_mapped","observed_2025","1","not_public","0","assessed 2025-09; repeated through 2026","4",""
"PLA-2FAA2DB87543","Chen Demin","陈德民","CMC / central joint","CMC / central joint","CMC Political Work Department deputy director, apparently presiding over the department's work","Lieutenant General","inferred_current","not_mapped","not_established","1","not_public","1","unknown","3","G02"
"PLA-6001E00E8D37","Chen Dong","陈冬","PLA Air Force","PLA Air Force","PLA Astronaut Corps commander and special-class astronaut","senior colonel","formal_current","official_mapped","observed_2025","1","recorded","0","2025-04-23","2",""
"PLA-313F2F7A8577","Chen Guangjun","陈光军","PLA Rocket Force","PLA Rocket Force","Reported PLARF deputy commander; specialist rosters maintain the title, while a March 2025 official article confirms only that he was a PLARF NPC representative.","Lieutenant General","inferred_current","not_mapped","pre_2025","2","recorded","0","2021-03 reconstruction; maintained through 2026-08","5",""
"PLA-7F73980DBACF","Chen Guoqing","陈国庆","People's Armed Police","China Coast Guard","Deputy director, Political Work Department, China Coast Guard","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-01-30","1",""
"PLA-6D1FDD09598E","Chen Hongke","陈洪珂","CMC / central joint","CMC discipline / supervision system","Reported PLAN Discipline Inspection Commission secretary","Vice Admiral","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-B28F217E1D85","Chen Jinbao","陈金宝","Military education / research","National University of Defense Technology","Vice president, National University of Defense Technology","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-08-30","1",""
"PLA-735C442E8248","Chen Xiuxi","陈修玺","PLA Navy / Marines","PLA Navy / Marines","President/commandant, PLA Navy Submarine Academy","Rear Admiral (major-general grade)","formal_current","official_mapped","observed_2025","5","not_public","0","2025-03-20","3",""
"PLA-D4BC2E123302","Chen Yuan","陈源","PLA Army / military district","Beijing Garrison","Beijing Garrison leader, plausibly commander, after PAP Guangxi and Shanghai commands; official January 2026 text listed him but did not print a title, and he was absent from a March leadership list.","Major general","inferred_current","not_mapped","observed_2026","2","recorded","0","2026-01-14 named appearance; 2026-03-08 counter-observation","4",""
"PLA-BD6D5F709CFE","Chen Yueqi","陈岳琪","Joint theater command","Eastern Theater Command","Eastern Theater Command deputy commander","","stale_or_unknown","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-055386334E63","Chen Zhiguo","陈治国","PLA Navy / Marines","PLA Navy / Marines","commissioning captain of aircraft carrier Fujian","","formal_current","official_mapped","observed_2025","2","not_public","1","2025-12-24","5","G10"
